user_id,total_responses,passing_responses,average_max_score
b54847098944404201555bc5be5b93b9,8,1,5.0
3b266d06bda73257b7dc45008a5c2c69,14,13,73.21428571428571
c08c7846af7ecd0dfb42154eb4174cef,7,5,53.57142857142857
8339309d824b0ce36f29b7e126aa8b88,17,11,34.11764705882353
54fb82f94361fc5b847269c121c4eacc,2,0,0.0
459b2ec314dec916b23ebab76d53f05c,11,0,0.0
6dedb58f7cbf824640459da70c9536e5,6,0,0.0
a02350621376d9abfdeccb8af7ec263b,1,0,0.0
e4e380561363c22b428bbe44aef5c3d3,3,0,0.0
d8bc5ef1c93e36b43ce2d8ead1bde14f,7,1,5.714285714285714
ef6065487958c1edea4a0fc6787fc325,11,0,0.0
40e7693dde91d2e4d492d11a84d7241c,2,0,0.0
689b59030c159e4745f439d2931a03c9,7,7,76.42857142857143
3741e927ab7d45a7ca19ed47a3eb5864,15,0,0.0
e3b88adfc595f076b5247dc77a9d5b01,18,0,0.0
99d6a7aca25ca4abdc7dd5cf217d460e,12,0,0.0
22e852e4a1575a2a349d2052e07aff01,11,0,0.0
44251858f1bd6a904ad5c26e55508fb4,8,6,42.5
0519fc08836ffb54dcfe1623ebee7177,2,2,65.0
1670a514c83f97d514c12348bdb44468,13,0,0.0
008835950949f3d44a9aaee794d231e7,9,0,0.0
64b0e9b8b89ce86fca7619efa32bda37,8,7,48.75
12fed15617b146b4ed45eed89a15dd8e,6,0,0.0
ae40225517937e006108858dc9308279,3,0,0.0
9359028cc4dbf6a03d196d9dd55d97ce,12,7,43.75
3e512d2f0083b78f9015d4c3f73f4b4c,10,10,82.0
a277effa13a71d20fc2b2d68475ceb7e,6,6,63.333333333333336
1b55adecb3a7cea05d1c1e7f10001661,12,8,36.666666666666664
a3edeed719da13ca9934ccc79a696b84,3,0,0.0
c9fc53857bde589605764edff729dbc1,5,0,0.0
20b09b5044f96312e3fdb0a065842acc,18,0,0.0
c8cbeb37a3ebf6077328ad2e19417c82,1,0,0.0
2d365e12e76330b6a4fab433ee403f27,16,8,26.25
51c45cd5733846c43f69824a40a17dc8,7,1,5.714285714285714
1c22f294f3598e6dff412758cf28d676,4,4,90.0
5bbad58a0a1426e17a0f1fd441bd2a93,12,0,0.0
0e69338409613bcfad927bc1529a9308,7,0,0.0
8ebcbf815cc6ae051b4ac0654f94973c,17,8,25.88235294117647
4069589945b4fdf992b00bef88dec597,6,2,20.0
09ff604f50d6b3b9782b0adc1619ddb8,18,8,34.44444444444444
72b4274b543cfe0265a3a628ecb2e370,8,8,98.75
