user_id,total_responses,passing_responses,average_max_score
acc53f18cc2c6d28c1f83a71798f2ceb,18,12,34.44444444444444
9e63a1c1f3ccd5fc9bd3bc6bc58b261f,18,8,21.11111111111111
2d94fed3d99ee3fa9d56e8b9896c7c51,18,12,38.888888888888886
3b748a1fdbb41baaa95bc3f44a5e7cfa,18,12,26.666666666666668
d663d20c8cd195e564ccf48d082c5755,18,11,33.333333333333336
95fd030c8a8a3be5d8da084097b89e31,18,9,22.22222222222222
f508fd21fe9cffac4d76fc6dc48602b4,18,12,54.44444444444444
84df5c67036cb0251e472e3bb5943ed7,18,11,31.11111111111111
44251858f1bd6a904ad5c26e55508fb4,18,12,36.666666666666664
0b3f2442320cf16d3e7e5ddd1a56820d,18,4,8.88888888888889
80d5a8bd9e65bac069257b0071bab47f,18,11,31.11111111111111
fec3158cc943a0fc7f6ec2713e2b1c85,18,11,33.333333333333336
