user_id,device_type,platform_id,video_id,session_id,filename,coach_carter_score,oscars_slap_score,trump_ukraine_score,max_score,likely_video,engagement_level,passes_threshold,text_preview,processing_time,user_type
019bfef500435f7b6cb714ea03ffd687,desktop,1,1,1,1_1_1_019bfef500435f7b6cb714ea03ffd687.txt,90,0,0,90,Coach Carter,HIGH,True,"The Coach Carter movie clip shows Coach Carter motivating his team to uphold discipline, focus on ac",0.6407749652862549,broken
019bfef500435f7b6cb714ea03ffd687,desktop,1,1,2,1_1_2_019bfef500435f7b6cb714ea03ffd687.txt,90,0,0,90,Coach Carter,HIGH,True,"The Coach Carter movie clip shows Coach Carter emphasizing the importance of setting goals, staying ",0.9618971347808838,broken
019bfef500435f7b6cb714ea03ffd687,desktop,1,2,1,1_2_1_019bfef500435f7b6cb714ea03ffd687.txt,0,70,0,70,Oscars Slap,MODERATE,True,The Oscar Slap Clip shows Will Smith hitting Chris Rock on stage at the 2022 Oscars after a joke abo,1.7197508811950684,broken
019bfef500435f7b6cb714ea03ffd687,desktop,1,2,2,1_2_2_019bfef500435f7b6cb714ea03ffd687.txt,0,70,0,70,Oscars Slap,MODERATE,True,The Oscar Slap Clip shows Will Smith slapping Chris Rock on stage during the 2022 Oscars after a jok,0.556555986404419,broken
019bfef500435f7b6cb714ea03ffd687,desktop,1,3,1,1_3_1_019bfef500435f7b6cb714ea03ffd687.txt,0,0,60,60,Trump-Ukraine Meeting,MODERATE,True,The clip shows former President Trump and author Vance meeting with Ukrainian President Zelenskyy in,0.6353137493133545,broken
019bfef500435f7b6cb714ea03ffd687,desktop,1,3,2,1_3_2_019bfef500435f7b6cb714ea03ffd687.txt,0,0,60,60,Trump-Ukraine Meeting,MODERATE,True,The clip shows former President Trump and author Vance meeting with Ukrainian President Zelenskyy in,0.7372260093688965,broken
019bfef500435f7b6cb714ea03ffd687,desktop,2,1,1,2_1_1_019bfef500435f7b6cb714ea03ffd687.txt,90,0,0,90,Coach Carter,HIGH,True,The Coach Carter movie clip shows Coach Carter guiding his team to understand the value of hard work,0.5775632858276367,broken
019bfef500435f7b6cb714ea03ffd687,desktop,2,1,2,2_1_2_019bfef500435f7b6cb714ea03ffd687.txt,80,0,0,80,Coach Carter,HIGH,True,The Coach Carter movie clip shows Coach Carter motivating his basketball team to improve their work ,0.6466219425201416,broken
019bfef500435f7b6cb714ea03ffd687,desktop,2,2,1,2_2_1_019bfef500435f7b6cb714ea03ffd687.txt,0,60,0,60,Oscars Slap,MODERATE,True,The Oscar Slap Clip shows Will Smith hitting Chris Rock on stage at the 2022 Oscars after a joke abo,0.7132308483123779,broken
019bfef500435f7b6cb714ea03ffd687,desktop,2,2,2,2_2_2_019bfef500435f7b6cb714ea03ffd687.txt,0,80,0,80,Oscars Slap,HIGH,True,The Oscar Slap Clip shows Will Smith slapping Chris Rock on stage during the 2022 Oscars after a jok,0.6086540222167969,broken
019bfef500435f7b6cb714ea03ffd687,desktop,2,3,1,2_3_1_019bfef500435f7b6cb714ea03ffd687.txt,0,0,60,60,Trump-Ukraine Meeting,MODERATE,True,The clip shows former President Trump and author Vance in the Oval Office with Ukrainian President Z,0.656425952911377,broken
019bfef500435f7b6cb714ea03ffd687,desktop,2,3,2,2_3_2_019bfef500435f7b6cb714ea03ffd687.txt,0,0,60,60,Trump-Ukraine Meeting,MODERATE,True,The clip shows former President Trump and author Vance meeting with Ukrainian President Zelenskyy in,0.6843500137329102,broken
019bfef500435f7b6cb714ea03ffd687,desktop,3,1,1,3_1_1_019bfef500435f7b6cb714ea03ffd687.txt,80,0,0,80,Coach Carter,HIGH,True,The Coach Carter movie clip shows Coach Carter enforcing rules and motivating his team to take acade,0.6196660995483398,broken
019bfef500435f7b6cb714ea03ffd687,desktop,3,1,2,3_1_2_019bfef500435f7b6cb714ea03ffd687.txt,80,0,0,80,Coach Carter,HIGH,True,"The Coach Carter movie clip shows Coach Carter inspiring his players to take responsibility, value e",0.7851507663726807,broken
019bfef500435f7b6cb714ea03ffd687,desktop,3,2,1,3_2_1_019bfef500435f7b6cb714ea03ffd687.txt,0,80,0,80,Oscars Slap,HIGH,True,The Oscar Slap Clip shows Will Smith slapping Chris Rock on stage at the 2022 Oscars after Rock made,0.5389759540557861,broken
019bfef500435f7b6cb714ea03ffd687,desktop,3,2,2,3_2_2_019bfef500435f7b6cb714ea03ffd687.txt,0,80,0,80,Oscars Slap,HIGH,True,The Oscar Slap Clip shows Will Smith slapping Chris Rock on stage during the 2022 Oscars after a jok,0.7030377388000488,broken
019bfef500435f7b6cb714ea03ffd687,desktop,3,3,1,3_3_1_019bfef500435f7b6cb714ea03ffd687.txt,0,0,60,60,Trump-Ukraine Meeting,MODERATE,True,The Oval Office meeting clip shows former President Trump and author Vance talking with Ukrainian Pr,0.6637496948242188,broken
019bfef500435f7b6cb714ea03ffd687,desktop,3,3,2,3_3_2_019bfef500435f7b6cb714ea03ffd687.txt,0,0,60,60,Trump-Ukraine Meeting,MODERATE,True,The clip shows former President Trump and author Vance meeting with Ukrainian President Zelenskyy in,0.645298957824707,broken
03fa198f4c5d4d58243a0e3ae8124839,desktop,1,1,1,1_1_1_03fa198f4c5d4d58243a0e3ae8124839.txt,85,0,0,85,Coach Carter,HIGH,True,"“Coach Carter shows that true success comes from discipline, teamwork, and respect. This clip inspir",0.9385669231414795,broken
03fa198f4c5d4d58243a0e3ae8124839,desktop,1,1,2,1_1_2_03fa198f4c5d4d58243a0e3ae8124839.txt,80,0,0,80,Coach Carter,HIGH,True,"The Coach Carter movie clip shows Coach Carter enforcing strict rules, motivating his team to focus ",0.7394812107086182,broken
03fa198f4c5d4d58243a0e3ae8124839,desktop,1,2,1,1_2_1_03fa198f4c5d4d58243a0e3ae8124839.txt,0,80,0,80,Oscars Slap,HIGH,True,"“That Oscar moment was shocking and intense. It reminds everyone that even in public events, emotion",0.7768728733062744,broken
03fa198f4c5d4d58243a0e3ae8124839,desktop,1,2,2,1_2_2_03fa198f4c5d4d58243a0e3ae8124839.txt,0,80,0,80,Oscars Slap,HIGH,True,The Oscar Slap Clip shows Will Smith slapping Chris Rock on stage during the 2022 Oscars after Rock ,1.0826220512390137,broken
03fa198f4c5d4d58243a0e3ae8124839,desktop,1,3,1,1_3_1_03fa198f4c5d4d58243a0e3ae8124839.txt,0,0,60,60,Trump-Ukraine Meeting,MODERATE,True,The clip shows former President Trump and author Vance meeting with Ukrainian President Zelenskyy in,1.1077978610992432,broken
03fa198f4c5d4d58243a0e3ae8124839,desktop,1,3,2,1_3_2_03fa198f4c5d4d58243a0e3ae8124839.txt,0,0,60,60,Trump-Ukraine Meeting,MODERATE,True,The clip shows former President Trump and author Vance in the Oval Office with Ukrainian President Z,0.8075459003448486,broken
03fa198f4c5d4d58243a0e3ae8124839,desktop,2,1,1,2_1_1_03fa198f4c5d4d58243a0e3ae8124839.txt,80,0,0,80,Coach Carter,HIGH,True,"“Coach Carter shows that hard work, discipline, and teamwork matter more than winning. His guidance ",0.7181921005249023,broken
03fa198f4c5d4d58243a0e3ae8124839,desktop,2,1,2,2_1_2_03fa198f4c5d4d58243a0e3ae8124839.txt,90,0,0,90,Coach Carter,HIGH,True,"The Coach Carter movie clip shows Coach Carter confronting his basketball team, enforcing academic s",0.5682950019836426,broken
03fa198f4c5d4d58243a0e3ae8124839,desktop,2,2,1,2_2_1_03fa198f4c5d4d58243a0e3ae8124839.txt,0,80,0,80,Oscars Slap,HIGH,True,"“That Oscar slap was shocking and unexpected. It reminds us that even in high-profile moments, emoti",0.6502997875213623,broken
