user_id,device_type,platform_id,video_id,session_id,filename,coach_carter_score,oscars_slap_score,trump_ukraine_score,max_score,likely_video,engagement_level,passes_threshold,text_preview,processing_time,user_type
02905a58d4d227f7db1be7407f133719,desktop,1,1,1,1_1_1_02905a58d4d227f7db1be7407f133719.txt,0,0,0,0,UNKNOWN,NONE,False,"THE COACH IS COMING TO THE CLASS ROOM , NO ONE RESPECT TO THEM AND SOME STUDENTS ARE INSULT TO THE C",0.7953343391418457,complete
02905a58d4d227f7db1be7407f133719,desktop,1,1,2,1_1_2_02905a58d4d227f7db1be7407f133719.txt,0,0,0,0,UNKNOWN,NONE,False,"THE COACH IS ENTER IN TO THE CLASS ROOM , NO ONE RESPECT TO THE COACH AND SOME STUDENT ARE INSULT TO",1.1598281860351562,complete
02905a58d4d227f7db1be7407f133719,desktop,1,2,1,1_2_1_02905a58d4d227f7db1be7407f133719.txt,0,60,0,60,Oscars Slap,MODERATE,True,ON THE AWARD FUNCTION THE ANCHOR IS JOKING TO THE CELEBRITY'S WIFE AND THE CELEBRITY GET ANGRY TO TH,0.8548657894134521,complete
02905a58d4d227f7db1be7407f133719,desktop,1,2,2,1_2_2_02905a58d4d227f7db1be7407f133719.txt,0,60,0,60,Oscars Slap,MODERATE,True,ON THE AWARD FUNCTION THE ANCHOR IS INSULT TO THE CELEBRITY'S WIFE AND THE CELEBRITY GET ANGRY AND H,1.1834290027618408,complete
02905a58d4d227f7db1be7407f133719,desktop,1,3,1,1_3_1_02905a58d4d227f7db1be7407f133719.txt,0,0,40,40,Trump-Ukraine Meeting,MINIMAL,True,ON THE OFFICE MEETING IN FRONT OF SOCIAL MEDIA AND THE UKRAINE PRESIDENT AND THE VICE PRESIDENT AND ,1.0087249279022217,complete
02905a58d4d227f7db1be7407f133719,desktop,1,3,2,1_3_2_02905a58d4d227f7db1be7407f133719.txt,0,0,40,40,Trump-Ukraine Meeting,MINIMAL,True,"THE OFFICE MEETING IS IN FRONT OF SOCIAL MEDIA , TO THE UKRAINIE PRESIDENT AND VICE PRESIDENT IN THE",0.9523849487304688,complete
02905a58d4d227f7db1be7407f133719,desktop,2,1,1,2_1_1_02905a58d4d227f7db1be7407f133719.txt,40,0,0,40,Coach Carter,MINIMAL,True,"THE COACH ENTER IN TO THE CLASS ROOM NO ONE RESPECT TO THEM , SOME STUDENT ARE INSULT TO THE COACH A",0.7921688556671143,complete
02905a58d4d227f7db1be7407f133719,desktop,2,1,2,2_1_2_02905a58d4d227f7db1be7407f133719.txt,0,0,0,0,UNKNOWN,NONE,False,"THE COACH IS ENTER IN THE CLASS ROOM , NO ONE RESPECT TO THEM AND SOME STUDENT ARE INSULT TO THE COA",1.3226869106292725,complete
02905a58d4d227f7db1be7407f133719,desktop,2,2,1,2_2_1_02905a58d4d227f7db1be7407f133719.txt,0,60,0,60,Oscars Slap,MODERATE,True,ON THE AWARD FUNCTION THE ANCHOR IS JOKING THE CELEBRITY'S WIFE AND THE CELEBRITY' GET ANGRY TO THE ,1.015549898147583,complete
02905a58d4d227f7db1be7407f133719,desktop,2,2,2,2_2_2_02905a58d4d227f7db1be7407f133719.txt,0,60,0,60,Oscars Slap,MODERATE,True,ON THE AWARD FUNTION THE ANCHOR IS INSULT THE CELEBRITY'S WIFE AND THE CELEBRITY GET ANGRY AND HE GO,1.2159299850463867,complete
