user_id,platform_id,session_id,IL_eKey.space_mean,IL_eKey.space_median,IL_eKey.space_q1,IL_eKey.space_q3,IL_eKey.space_std,IL_Key.backspaceKey.backspace_mean,IL_Key.backspaceKey.backspace_median,IL_Key.backspaceKey.backspace_q1,IL_Key.backspaceKey.backspace_q3,IL_Key.backspaceKey.backspace_std,IL_Key.spacet_mean,IL_Key.spacet_median,IL_Key.spacet_q1,IL_Key.spacet_q3,IL_Key.spacet_std,IL_th_mean,IL_th_median,IL_th_q1,IL_th_q3,IL_th_std,IL_Key.spacea_mean,IL_Key.spacea_median,IL_Key.spacea_q1,IL_Key.spacea_q3,IL_Key.spacea_std,IL_sKey.space_mean,IL_sKey.space_median,IL_sKey.space_q1,IL_sKey.space_q3,IL_sKey.space_std,IL_dKey.space_mean,IL_dKey.space_median,IL_dKey.space_q1,IL_dKey.space_q3,IL_dKey.space_std,IL_he_mean,IL_he_median,IL_he_q1,IL_he_q3,IL_he_std,IL_tKey.space_mean,IL_tKey.space_median,IL_tKey.space_q1,IL_tKey.space_q3,IL_tKey.space_std
019bfef500435f7b6cb714ea03ffd687,2,2,9.681640502148415e-05,6.255555555555555e-05,3.153968253968254e-05,0.0001127837301587,0.0001207833948022,0.0001043333333333,0.000104,9.2e-05,0.0001164999999999,2.4501700621249393e-05,0.0002815372898802,0.00021558,0.00014345,0.0003578139999999,0.000212035559198,8.893391708014794e-05,6.973387096774194e-05,5.1e-05,0.0001006794354838,7.931986557577556e-05,0.0002619160468848,0.0001980975609756,0.0001218556910569,0.0003489552845528,0.0002137149956843,9.269247452741648e-05,6.23130081300813e-05,3.569308943089431e-05,0.0001025223577235,0.000105358100268,8.603681668335213e-05,6.032936507936508e-05,3.574801587301588e-05,9.733333333333332e-05,9.46377343611027e-05,0.0001209898192156,9.816e-05,6.6106e-05,0.000145254,9.397935808969488e-05,0.0001323601492326,0.0001022661290322,7.411491935483872e-05,0.0001513951612903,0.000104440339203
03ed26062301e1ac6bbf94f3c03a7e56,1,1,6.993103448275863e-05,6.9e-05,2.5e-05,9.6e-05,6.0838739440826416e-05,0.0001311874999999,0.000103,8.874999999999999e-05,0.00012025,0.0001133673784648,0.00013275,0.0001435,0.00011825,0.00015725,4.162331077653483e-05,0.0001283571428571,0.0001305,0.0001215,0.00013575,1.8041009450084045e-05,5.725e-05,8e-06,-1.75e-06,3.3e-05,0.0001439074603446,0.0001121249999999,9.1e-05,2.675e-05,0.000144,0.0001184521703755,8.78125e-05,6.45e-05,3.9e-05,0.00012375,7.155903739803474e-05,1.5333333333333334e-05,1.8e-05,3e-06,2.9999999999999997e-05,2.09252638374446e-05,0.0001271153846153,0.00012,7.400000000000001e-05,0.00015825,8.328232798046746e-05
03ed26062301e1ac6bbf94f3c03a7e56,1,2,5.792857142857145e-05,3.2000000000000005e-05,2e-05,9.4e-05,5.78492261575984e-05,0.0001999999999999,0.000124,0.000112,0.000212,0.0001768464494036,0.0001574,0.000153,0.000145,0.000176,1.84472220130837e-05,0.00011175,0.00013,0.000126,0.000136,5.289977659344473e-05,2.4e-05,1.6e-05,0.0,4.175e-05,4.257766013835357e-05,6.088888888888889e-05,5.7e-05,4.1e-05,6.4e-05,2.880297052581749e-05,6.878571428571429e-05,4.15e-05,-9e-06,9.2e-05,0.0001323382487715,2.111111111111111e-05,1e-05,1e-06,3.2e-05,2.9216623882836143e-05,0.0001236428571428,0.000104,5.2749999999999995e-05,0.00013475,0.0001212090420229
03ed26062301e1ac6bbf94f3c03a7e56,2,1,7.20294117647059e-05,6.4e-05,3.2e-05,8.625e-05,7.716196476052238e-05,0.0001235,0.0001085,9.6e-05,0.00013025,4.743697573272001e-05,0.000182,0.000116,0.000104,0.00014,0.000196509541753,0.0001026666666666,0.000128,9.1e-05,0.00013675,5.4942750953633014e-05,6.500000000000001e-05,3.4e-05,1.025e-05,8.999999999999999e-05,9.2462605053791e-05,0.0001215625,5.9999999999999995e-05,4.8e-05,0.00010425,0.000168652292701,6.146153846153846e-05,5.6e-05,1.6e-05,0.00012,6.57579087570656e-05,4.4e-05,1.6e-05,8e-06,2.6e-05,9.159330397650986e-05,0.0001493913043478,0.00012,7.999999999999999e-05,0.0001515,0.0001320935409371
03ed26062301e1ac6bbf94f3c03a7e56,2,2,5.088235294117647e-05,5.2e-05,3.2e-05,6.5e-05,3.7682692235529656e-05,0.000124909090909,0.000104,9.15e-05,0.0001205,6.969857178659336e-05,0.000201,0.000152,0.000128,0.000164,0.0001395098562826,9.95e-05,0.000128,5.025e-05,0.000142,5.030628412258475e-05,5.88e-05,6.4e-05,2.3e-05,9.5e-05,5.6384395004291755e-05,0.0001100666666666,7.3e-05,6.45e-05,0.000148,7.841780652984616e-05,4.725e-05,5.2e-05,2.9999999999999997e-05,6.424999999999999e-05,4.336802640524139e-05,0.0001036666666666,7.6e-05,3.8e-05,0.00016725,9.23376544224642e-05,0.0001184444444444,0.000112,7.3e-05,0.000169,5.1681986975906583e-05
03ed26062301e1ac6bbf94f3c03a7e56,3,1,5.665000000000001e-05,4.4e-05,1e-05,8.65e-05,7.263772761922148e-05,9.81e-05,9.95e-05,8.8e-05,0.00010475,1.8326968592153417e-05,0.000174125,0.0001525,0.000134,0.00016,8.972726532585924e-05,0.0001613636363636,0.00014,0.000128,0.000154,6.282558830169873e-05,5.833333333333333e-05,7.999999999999999e-05,2.4e-05,9.175e-05,4.580247446008421e-05,9.06e-05,8.9e-05,4.05e-05,0.000117,7.445689069138311e-05,5.3e-05,4.85e-05,2.9999999999999997e-05,7.325e-05,3.7175260590882215e-05,6.108333333333333e-05,3.65e-05,1.225e-05,6.275000000000001e-05,8.972630944188336e-05,0.0001171333333333,0.000123,8.25e-05,0.000148,4.205585854664292e-05
03ed26062301e1ac6bbf94f3c03a7e56,3,2,6.4e-05,6.5e-05,3.6e-05,8.45e-05,4.097289076667373e-05,0.0001017142857142,9.8e-05,9.525e-05,0.0001135,1.4100892341804642e-05,0.0002054285714285,0.000153,0.000126,0.0001684999999999,0.0001685139530749,0.0001699999999999,0.0001405,0.00012925,0.000168,0.000111088826048,6.85e-05,3.85e-05,2.625e-05,5.3750000000000005e-05,9.187110535962872e-05,8.046153846153846e-05,8e-05,3.3e-05,0.000128,6.56678706124177e-05,9.12e-05,8.1e-05,7.9e-05,0.00012,2.8065993657805885e-05,4.399999999999999e-05,3.7000000000000005e-05,3.2e-05,4.875e-05,3.0110054543547154e-05,8.772727272727273e-05,0.000111,5.2e-05,0.000126,4.595887489721851e-05
03fa198f4c5d4d58243a0e3ae8124839,3,1,9.681640502148415e-05,6.255555555555555e-05,3.153968253968254e-05,0.0001127837301587,0.0001207833948022,0.0001887621894132,0.0001338984962406,0.0001162838345864,0.000202969924812,0.0001422512739292,0.0002815372898802,0.00021558,0.00014345,0.0003578139999999,0.000212035559198,8.893391708014794e-05,6.973387096774194e-05,5.1e-05,0.0001006794354838,7.931986557577556e-05,0.0002619160468848,0.0001980975609756,0.0001218556910569,0.0003489552845528,0.0002137149956843,9.269247452741648e-05,6.23130081300813e-05,3.569308943089431e-05,0.0001025223577235,0.000105358100268,8.603681668335213e-05,6.032936507936508e-05,3.574801587301588e-05,9.733333333333332e-05,9.46377343611027e-05,0.0001209898192156,9.816e-05,6.6106e-05,0.000145254,9.397935808969488e-05,0.0001323601492326,0.0001022661290322,7.411491935483872e-05,0.0001513951612903,0.000104440339203
090e14f795db6d9fad9fc4ddd6ff5094,1,1,0.0001186363636363,0.000129,0.0001,0.000139,3.329045727313678e-05,0.0001887621894132,0.0001338984962406,0.0001162838345864,0.000202969924812,0.0001422512739292,0.000412,0.000248,0.0001805,0.0004795,0.0003793766817645,0.000175,0.000169,0.000163,0.000197,2.4259018941416404e-05,0.0003147999999999,0.000264,0.000191,0.000434,0.0001453709049294,0.00019,0.000132,0.000103,0.000167,0.000213929505523,0.0001141111111111,9.8e-05,6.3e-05,0.000126,7.424190939833856e-05,0.0001954999999999,0.0001795,0.00015525,0.0002315,9.69984535959208e-05,0.0002105,0.0002235,0.0002025,0.0002315,3.733184520843655e-05
090e14f795db6d9fad9fc4ddd6ff5094,1,2,0.0001424736842105,0.000128,0.000113,0.0001725,5.05957490759985e-05,0.0001785555555555,0.000124,0.000105,0.000159,0.0001395224991812,0.000396625,0.0003149999999999,0.00024275,0.0004095,0.0002746566362881,0.0001692857142857,0.000162,0.000145,0.0001775,4.0623122667245746e-05,0.0003828333333333,0.0003019999999999,0.00026,0.00040925,0.0002604146053251,0.000182909090909,0.000195,0.0001495,0.0002264999999999,6.191842140341523e-05,0.0001743999999999,0.000177,0.00010725,0.0002025,9.103015373429228e-05,0.0001474999999999,0.0001235,9.575e-05,0.00015125,9.593487374255516e-05,0.00014125,0.0001335,0.00010875,0.0001615,7.288689868556626e-05
